Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
KIF3B,91523650.16162577,171471943.55194047,56234682.983579576,217079514.24728718,49448905.05779664,330849625.05272335,49448905.05779664
KIF5A,9120230.236411314,94223009.9625059,32275753.24994267,24914680.0495139,24914680.0495139,137552064.32874352,24914680.0495139
KIF5B,1756152976.2204978,1339997987.153369,1328831349.9739616,1244799486.235947,1023102420.6418092,1245388216.6803014,1024820427.4746504
KIF5C,7494231511.969913,6456672677.415632,5326603683.792082,6716525907.762346,6388289041.596978,6759963934.242029,5947876196.2668915
KIFAP3,67560646.70052105,81016681.81604475,37101033.19673277,272635169.2459542,164677753.3066257,261408278.7589176,147092156.1103499
KIFC3,10221927.373961871,10221927.373961871,10221927.373961871,10454540.791818064,10454540.791818064,10454540.791818064,10454540.791818064
KLC1,3352852435.9517393,2909963975.6275992,1960419634.8592987,2710780812.2038016,3200417361.5902348,2827080180.188056,2521155695.9416623
KLC2,329334988.9216968,1057255251.9589533,444465751.9635604,703606078.8228506,462091298.0434785,613215599.8172868,584847177.0648686
KLC4,39169536.98744325,45831945.22449771,7473438.267692085,22531652.468841136,22531652.468841136,22531652.468841136,22531652.468841136
KLHL22,124458310.15148766,126247275.57887918,83135588.6693928,24918251.393774748,357042087.9870392,24918251.393774748,24918251.393774748
KLK6,10381980.709695775,10381980.709695775,10381980.709695775,11565477.722424176,11565477.722424176,11565477.722424176,11565477.722424176
KMT2A,9001134.118201656,9001134.118201656,9001134.118201656,10220697.190568285,10220697.190568285,10220697.190568285,10220697.190568285
KMT2D,10119645.936757889,10119645.936757889,10119645.936757889,11893446.033480054,11893446.033480054,11893446.033480054,11893446.033480054
KNDC1,8407030.288923437,8407030.288923437,8407030.288923437,9200445.513248656,9200445.513248656,9200445.513248656,9200445.513248656
KNG1,145711502.01989958,74815788.87528256,45695906.580411196,11766226.852047509,136518829.8390967,181698250.67581058,11766226.852047509
KPNA1;KPNA5,17227254.70462592,26861763.802500814,8244638.372272078,15328921.126376502,15328921.126376502,15328921.126376502,15328921.126376502
KPNA3,374999611.1128183,333028034.5647448,215563640.3637453,711455226.6014972,441196853.190053,1080595324.9731114,541894710.8344443
KPNA4,548876357.9727845,584137514.6199211,155077705.73395288,967500364.034757,913031472.7769692,1093227110.377715,1143765119.5596175
KPNA6,109277451.32065052,152304799.52023456,156737996.3528601,582998615.4979706,458668702.1506912,621511675.7034055,487080497.2196863
KPNB1,7451314842.464547,7074373734.892066,4992555743.405744,7350688362.06048,7801581904.996283,8271071061.240176,7014237553.674104
KRAS,1259448210.1491983,2023575898.1857147,2133025171.8848138,1944504412.5337317,1673133162.2190726,1548154387.8293936,1298078784.2978532
KREMEN1,10134266.525382387,10134266.525382387,10134266.525382387,10435854.663431302,10435854.663431302,10435854.663431302,10435854.663431302
KRT1,276516340.20374906,529452359.4084861,40591777.28129535,2707582242.8567686,8152100209.7650175,89338171.67576316,89338171.67576316
KRT10;KRT17,171892508.09489816,10479531.562086074,10479531.562086074,10910122.567332562,272768983.9624568,10910122.567332562,10910122.567332562
KRT17,9938877.415109955,9938877.415109955,9938877.415109955,10393739.367669713,10393739.367669713,10393739.367669713,10393739.367669713
KRT2,11567533.036375048,11567533.036375048,11567533.036375048,10141217.778209642,131612957.4548993,10141217.778209642,10141217.778209642
KRT222,10249233.24455198,10249233.24455198,10249233.24455198,10824310.834175514,10824310.834175514,10824310.834175514,10824310.834175514
KRT5,9876273.309354393,9876273.309354393,9876273.309354393,10253859.162993267,10253859.162993267,10253859.162993267,10253859.162993267
KRT9,10998419.313758383,10998419.313758383,10998419.313758383,9885072.588687783,103059013.1683494,9885072.588687783,9885072.588687783
KSR1,9598050.786500407,9598050.786500407,9598050.786500407,9373026.210966753,9373026.210966753,9373026.210966753,9373026.210966753
KTN1,1566822412.1217167,2241946022.335175,1956498155.0348737,1396281291.7180727,1236090347.8454876,1577986384.055144,1187933267.4715765
