Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
DYNC1LI1,2159618982.4815907,2469085402.6062016,1862819631.336659,1847099058.3154144,1508608115.3024778,1944405060.9617224,2138837341.7550292
DYNC1LI2,3149708157.274004,4047402331.2796106,2753890162.7971444,2992310162.9481444,3432166447.667081,3025521705.7319894,2624712943.8988314
DYNC2H1,9131356.966108866,9131356.966108866,9131356.966108866,14275848.492367776,14275848.492367776,14275848.492367776,14275848.492367776
DYNLL1,673859072.1648117,2349043871.083602,457300096.36730456,1251326129.04678,778302866.9226218,64699746.460768595,64699746.460768595
DYNLL2,7525936805.083091,10618169329.059616,7442550135.823987,6982698083.3518915,9042127006.935791,8692562362.542288,10097891791.346504
DYNLRB1,1637444707.123973,1313369791.6076083,1144568463.385283,2422322741.5869937,2061990857.6546454,2496929409.966396,2489773198.4578624
DYNLT1,135824282.4452977,6855947.45767647,6855947.45767647,184597995.48789155,20885586.368132927,20885586.368132927,20885586.368132927
DYNLT3,325989721.4474026,497919379.88711673,267566049.5514234,948002238.8694794,54608923.573155776,54608923.573155776,54608923.573155776
EARS2,110445144.4139464,160455216.8148633,67895488.70890833,331513189.33583933,29366218.32793609,227332976.6848969,29366218.32793609
ECE2,28428796.884356424,9756490.270650782,9756490.270650782,9356942.9035043,9356942.9035043,9356942.9035043,9356942.9035043
ECH1,1567287798.397777,1794266586.0305197,2021072886.604766,2011354019.3636782,1964934802.2887187,1810979926.1781883,1878346285.2522154
ECHDC1,352624377.3871053,602932966.6575221,369679714.23660785,455506857.06664973,559981604.6471062,535066480.4540631,517436199.6157252
ECHS1,5333728492.005112,8409302915.697356,8331879062.064551,7598594095.025482,8082804098.36592,9058334788.386219,8933316795.073761
ECI1,312256623.08532935,478957216.16232395,655443145.1161468,578099177.931253,720471373.8922049,410566302.79181933,767621952.1085957
ECI2,131938812.56232691,308362056.16932184,289536388.65057534,338069115.7694836,394137320.9017528,42010841.60836554,541356553.143874
ECSIT,9764172.658912435,69406647.29366997,9764172.658912435,12104223.69577192,12104223.69577192,12104223.69577192,153629066.94287091
EDC3,35607074.45672858,46021718.91814692,38752135.918340676,12161975.113489028,12161975.113489028,12161975.113489028,12161975.113489028
EDC4,135820295.1207194,156411768.93647537,161987088.34151453,277277874.91064316,451872502.39700776,52262038.61583619,1413942416.940335
EDF1,269663970.4805477,319047685.48287666,219853353.87881845,33978933.1710066,33978933.1710066,458973546.95806724,33978933.1710066
EDIL3,10707680.239690384,72100331.28323221,10707680.239690384,10742002.326527836,10742002.326527836,160919793.42883393,121056189.70825128
EDNRB,10062999.805599988,10062999.805599988,10062999.805599988,9539122.843335854,9539122.843335854,9539122.843335854,9539122.843335854
EEA1,1229535471.3869717,1448824987.72602,1355986925.6245255,1585769691.4604976,1370176668.379643,1588054375.0230403,1602879587.3374681
EEF1A1,9398769155.194914,13207949300.721916,9489257681.618944,10518539231.587564,9011647421.108643,7890103747.244732,8846390120.863724
EEF1A2,33794623728.973133,41435996183.882256,33687212080.693165,36734057782.4311,28092746715.234142,28555447085.880768,31069933519.944756
EEF1B2,2530185807.619248,2391862399.0560613,1727773109.8861315,2320894589.5183806,2038677171.2854776,2358054231.734298,2464911343.8269415
EEF1D,1415690106.103405,1480558364.4587543,1182341860.1231663,1375662528.3509507,1183735079.1177626,1280174061.484211,1600209625.3983886
EEF1E1,235897443.4643612,304128937.0069801,219210663.91598395,287458865.8070237,298673390.2714407,281965413.456805,400755380.1698248
EEF1G,8301183003.631438,6357633225.902805,6365913549.340746,6181523351.6897955,6051528929.697295,5962571096.236329,7167197203.011586
EEF2,11223779987.244242,12860422198.478556,11163058914.678862,10578572694.143997,10914679184.456455,9200877875.69405,10639905477.431923
EEFSEC,242603060.30353996,240720242.31283718,249886309.14133492,26401464.419147823,343203001.9436199,154576933.2488704,84675910.88849936
EFCAB5,10127589.583023366,10127589.583023366,10127589.583023366,9432668.31668743,9432668.31668743,9432668.31668743,9432668.31668743
EFEMP1,28027695.567011017,9440011.050835868,51923901.083037645,13545046.911687782,13545046.911687782,13545046.911687782,13545046.911687782
EFHD1,10308516.836989034,10308516.836989034,10308516.836989034,9927393.570933983,9927393.570933983,9927393.570933983,9927393.570933983
EFHD2,204508187.96984085,883603318.1781921,957201286.1841248,1374913493.5548534,1272613853.8043175,1173704219.2662392,870766453.7295512
EFNB2,22723730.22953947,9510865.494594127,9510865.494594127,10848854.258345567,10848854.258345567,10848854.258345567,10848854.258345567
EFNB3,21517990.049573004,9466289.92901456,9466289.92901456,11734827.107518824,11734827.107518824,11734827.107518824,11734827.107518824
EFR3A,234982913.27341723,167763971.15500548,326621012.7605588,394137711.68639696,353602954.2821823,346978153.3198258,617597404.8185875
EFR3B,428933055.49578834,346737694.27311486,254067004.5005907,325746723.58493155,264807886.55815265,447170850.84351957,287609634.0488122
EFTUD2,369320071.1874185,313068004.38594747,343829203.2763225,270565232.4262265,715986001.9234636,154290163.7986943,724220006.3579397
EGFR,107317581.25629576,97938388.84658593,323141391.209903,570472664.9711871,372610103.1386989,174801125.77404764,489664332.33110946
EGLN3;EGLN1,9116003.095904456,9116003.095904456,9116003.095904456,13326970.76433979,13326970.76433979,13326970.76433979,13326970.76433979
EHBP1;EHBP1L1,28275193.686712015,10086181.12175452,10086181.12175452,9400041.52035867,9400041.52035867,9400041.52035867,9400041.52035867
EHD1,696135910.540413,710451150.6851739,741905577.1009307,1119143314.0373704,1197224860.9622245,1015021622.7178658,864027949.4487442
EHD2,139741338.14947718,273496228.43043447,322563253.1162518,230645789.20481881,320851298.69167066,269514938.26167023,197338699.36753178
EHD3,5139145669.832696,8421761155.607623,8080339375.632696,6917060330.414326,8247834162.619766,6770975683.107333,6804589486.267968
EHD4,66783603.453973845,77558432.02548926,83041472.18881692,13486417.210134588,13486417.210134588,13486417.210134588,13486417.210134588
EHMT2,9606830.875843441,9606830.875843441,9606830.875843441,9059599.60147646,9059599.60147646,9059599.60147646,9059599.60147646
EIF1,86754348.86746907,105998417.90820138,103238638.02910018,52951812.29692824,52951812.29692824,52951812.29692824,52951812.29692824
EIF1AX,199343541.84983686,135170424.31671593,90861543.00442132,409904967.2010957,455179083.45825964,32262598.077617936,340506349.3328986
EIF1B,87768252.93029022,304934786.6753594,209394903.11408588,401632354.1063376,392401654.1871011,131563721.61194511,39205384.77254966
EIF2A,23609451.977280587,91815272.81579828,67592754.76205164,24331266.5742493,24331266.5742493,24331266.5742493,24331266.5742493
EIF2AK2,230996539.90611586,425411504.0593046,333558568.30769485,366377936.9150578,35689374.01682343,340706930.0515401,406786419.55579734
EIF2B1,385673636.36269593,179980319.44300652,189091540.3298756,286981923.4143184,41696905.52131213,352827249.32137185,343456765.7044393
EIF2B2,46692062.5505529,53350369.37020831,65893616.88152668,113095603.86267269,23529719.79031913,47895384.721931644,107779752.1850306
EIF2B3,129211425.81883432,84336112.32569742,57641864.34326393,33046224.741923153,33046224.741923153,33046224.741923153,139636625.28135335
EIF2B4,56040512.85760841,105448935.05720009,76140202.63756804,103324298.21288686,80457247.54364002,67579207.91918445,120965332.32457833
EIF2B5,10290943.475929428,10290943.475929428,10290943.475929428,10901172.365267644,10901172.365267644,10901172.365267644,150034287.36467585
EIF2S1,798094020.0614078,726596227.5532112,703699330.4359328,596059024.9085482,696161931.8213063,483084666.8944301,693677228.8994861
EIF2S2,321050607.25147533,1455623202.220206,807688045.3417834,38880550.834394224,568476656.7011931,38880550.834394224,456228840.9955939
EIF2S3,1329938266.6080222,1038756209.1767422,1215905659.181684,1387561098.143412,910444795.634002,1166036392.6259542,1222595216.6527302
