Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
EMC2,27196408.161027983,76648541.28206351,60676957.45681675,14712497.992750207,14712497.992750207,14712497.992750207,14712497.992750207
EMC3,20626705.129884854,9383548.516371923,9383548.516371923,11626765.085647812,11626765.085647812,11626765.085647812,11626765.085647812
EMC7,9742667.273409069,9742667.273409069,9742667.273409069,9484045.929063333,9484045.929063333,9484045.929063333,9484045.929063333
EMC8,9427032.39085293,9427032.39085293,9427032.39085293,20440860.308645755,20440860.308645755,20440860.308645755,20440860.308645755
EMD,172110816.0181486,51621229.86425522,65195347.8876586,32200704.98419528,32200704.98419528,32200704.98419528,32200704.98419528
EML1,73254327.99184051,67458397.63289714,4710682.741051576,31335806.704891585,31335806.704891585,31335806.704891585,31335806.704891585
EML2,83413569.88058305,121214679.29949115,114087503.7202507,94213239.33423802,12815004.136372205,12815004.136372205,12815004.136372205
EML4,92747118.53557318,49587311.6634058,9487947.254668843,13839306.937143046,13839306.937143046,13839306.937143046,13839306.937143046
ENAH,129257702.4976603,48928110.13377297,28664985.80852331,44898265.70080024,44898265.70080024,44898265.70080024,44898265.70080024
ENC1,9904443.271978006,9904443.271978006,9904443.271978006,9778516.362359172,9778516.362359172,9778516.362359172,9778516.362359172
ENDOD1,402202910.9635619,454982167.0593707,786457577.3070749,272801249.8331677,176071268.70041904,261647939.7513497,326829392.3546458
ENO1,102856662903.39668,113801122020.43182,108303023621.78873,66482697698.91904,54018824064.4978,79513138200.62607,57666431853.523384
ENO2,55700674001.40127,48792454634.10715,68618770299.05758,42734835631.80562,24147839014.710102,44136044853.08539,32222814049.771683
ENO3,9369358.446314331,9369358.446314331,9369358.446314331,10671142.649552738,10671142.649552738,10671142.649552738,10671142.649552738
ENOPH1,1530477517.657858,1184778406.1358569,1274164755.6440883,1530266458.6024473,877475854.8585323,793693849.9025985,865948877.9116453
ENPP4,38682168.59878151,26983439.853532642,47211620.13173933,31740043.58598174,31740043.58598174,31740043.58598174,31740043.58598174
ENPP6,2551386274.170767,2023030798.5261936,4291685294.204369,492350270.2059432,2511916959.340099,34682790.80540767,531052622.0606203
ENSA,915296221.2395897,732068952.7618487,758793380.0278085,816878306.8132187,1048758344.8936073,490607839.40308034,383924165.18375885
ENTPD2,166266212.31407636,91842979.36607394,8510464.349786365,16460081.115858413,16460081.115858413,16460081.115858413,16460081.115858413
ENTPD3,83253231.9829766,59688113.92392532,54739468.11484863,19274572.677350875,19274572.677350875,97328002.61781636,19274572.677350875
ENTPD5,9997803.238967163,9997803.238967163,9997803.238967163,14465329.392805208,14465329.392805208,14465329.392805208,14465329.392805208
ENY2,11628932.508854657,11628932.508854657,11628932.508854657,10397810.455545317,10397810.455545317,10397810.455545317,10397810.455545317
EP400,12378424.85606556,12378424.85606556,12378424.85606556,10132594.11247643,10132594.11247643,10132594.11247643,10132594.11247643
EPB41,26159664.369110513,9650048.987466553,33291033.50188033,12607516.531600729,12607516.531600729,12607516.531600729,289413198.19945306
EPB41L1,11277331317.794695,12428222123.959976,10745957257.217442,10621454411.385595,8274741575.193005,11410276376.38938,5040203154.238338
EPB41L2,4014481129.8840547,4067364062.7941236,6177360870.577587,4817636787.98469,3220438543.41166,3557346548.385868,627346287.5354984
EPB41L3,20849718446.041054,23635375765.680607,28269848240.75014,15192513344.970966,12664359484.31372,14087578306.233797,10680218850.529915
EPB41L4B,29830897.28683916,83041796.940611,9399675.9752712,13875374.807512295,13875374.807512295,13875374.807512295,13875374.807512295
EPB41L5,18462470.336790077,10081658.571434274,10081658.571434274,10014748.473581437,10014748.473581437,10014748.473581437,10014748.473581437
EPDR1,7820677.989331456,7820677.989331456,123174229.78812587,295001007.6346986,18693815.225670505,18693815.225670505,18693815.225670505
EPG5,9065663.995859958,9065663.995859958,9065663.995859958,18749842.669464465,18749842.669464465,18749842.669464465,18749842.669464465
EPHA4,1752449544.4331875,1091351244.1984766,1373487545.2400045,1613882284.1629224,1172522459.4582176,1327915657.1497548,590860868.4975353
EPHA6;EPHA5,167019285.80271056,106171105.7090524,77132832.29119322,20332381.268265422,20332381.268265422,20332381.268265422,20332381.268265422
EPHB1,9292677.55921901,9292677.55921901,9292677.55921901,15545286.664274514,15545286.664274514,15545286.664274514,15545286.664274514
EPHB2,163191516.5055464,56269164.943345435,98198032.01811263,200010478.75717473,179481048.48001102,168895102.5422959,18830892.629272547
EPHB3,25733265.046133026,8948849.340028932,8948849.340028932,15866783.41988863,15866783.41988863,15866783.41988863,15866783.41988863
