Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
AFG3L2,2618019180.104227,1979340006.3742793,2167346123.2433205,2487291342.3792267,1882934870.885575,2324148717.934566,1823366159.445913
AFM,21562843.43485074,9795663.575494591,9795663.575494591,11171318.90522521,11171318.90522521,11171318.90522521,11171318.90522521
AFTPH,9806684.557994971,9806684.557994971,9806684.557994971,14361656.277662287,14361656.277662287,14361656.277662287,14361656.277662287
AGAP1,287839745.59253025,242019109.64688644,308898514.2336984,500080625.25831765,480496480.35317343,402545501.30874574,386656240.0231326
AGAP2,259973422.93781957,151351518.72202617,197988590.05811024,284875851.7585449,261391715.97259468,232403280.08966416,343795932.5951171
AGAP3,742833566.547117,644456627.5432253,676397134.223892,943611016.5907594,841747247.6425402,852279712.6873763,693534918.545834
AGFG1,207898231.00092053,153256285.12057745,151411994.81090227,428705059.59255695,408700174.08643526,404293544.729648,221461966.0053113
AGFG2,9902181.320334846,9902181.320334846,9902181.320334846,9990753.119579293,9990753.119579293,9990753.119579293,9990753.119579293
AGK,868763409.6928276,963905242.2249745,310474759.183938,1465509192.4228225,1384226428.4983401,1368194511.1105812,1201588361.4037519
AGL,2590220261.2716575,3405949073.433551,2379896305.4072776,2475256192.579112,2142059272.3070173,2263534278.250606,2020735527.1913495
AGO1,117859599.4916448,78954025.06867613,100953671.0906045,36241315.17750893,36241315.17750893,385326133.29425687,106473399.05541739
AGO2,40572873.77927158,43824501.23451595,33593223.64133135,33823326.51446269,33823326.51446269,33823326.51446269,33823326.51446269
AGPAT1,9497691.897903437,9497691.897903437,221862585.25434813,291510161.9337915,203674782.30817854,115781997.83257593,206444065.67251238
AGPAT3,126985728.4126663,138130024.29571232,170992756.838353,300755457.16847026,268843505.9262513,200731149.16636148,213360108.0413333
AGPAT4,106372311.01405656,73074665.57626212,80923284.01099956,27005633.117799643,27005633.117799643,27005633.117799643,118554592.74805337
AGPAT5,393547665.2441548,388360428.6811675,383129728.0065749,353540497.9701278,431708048.74689883,331174899.96353346,247644867.3556336
AGPS,194364717.99431834,110298033.1222881,83303242.24332964,251668089.87766674,39314722.1489155,39314722.1489155,188911947.45558926
AGRN,641800358.2045878,484236391.4101173,346114338.1724238,615143786.3522172,765463174.2200211,694935525.1346918,878584867.24299
AGT,302151829.4976539,544565245.9532032,449178704.25548667,344328259.0079487,170317400.85958016,563755793.5192399,233538853.4901355
AGTPBP1,104728718.08385664,65450351.89723285,50329549.70362893,15813089.063394533,76604638.36505768,93899598.65247536,15813089.063394533
AHCTF1,8953807.39383881,8953807.39383881,8953807.39383881,11482342.681426926,11482342.681426926,11482342.681426926,11482342.681426926
AHCY,5152243889.559625,4888760148.430421,5028437791.568732,5924161775.307171,5701525281.55052,5968479342.935379,5643931677.875259
AHCYL1,7193308521.986663,10520998219.397827,8650915602.44165,10167431936.422441,8943716261.251175,10763793205.849302,6638851262.834771
AHCYL2,332043608.32373667,817011700.0328394,336560952.4953453,583496756.4153262,776914635.5811709,798794749.1718776,37825291.500735655
AHNAK;NRIP1,1661940342.6329405,2847640842.431461,1803738799.0263073,3505529631.8006186,4003634369.2466726,3779695017.025103,1850289552.8140814
AHNAK2,2799559397.2540207,2008898774.3632522,2040667358.1356993,2827710101.6189594,2549479378.9658628,2256192217.823866,1436109892.1487854
AHSA1,1920523716.1632369,1877942825.4431832,2636840745.755183,1659019261.5476258,1414621719.270969,1833597277.697143,1817385626.7363691
AHSG,40814920.48965795,8483329.980331236,85567498.51778084,16841825.315072432,346452993.12254983,756328146.8111945,16841825.315072432
AHSP,16098630.598053355,16098630.598053355,16098630.598053355,9855704.315677863,9855704.315677863,9855704.315677863,46602056.07356689
AIDA,194382579.31562704,83960734.24972577,105948666.10295025,227947688.7604126,109972235.57075754,186085472.61397034,31212916.546581298
AIF1L,166385232.01572242,142078711.57462144,175737990.90699863,166066627.36506864,157821103.03319618,142492370.94520167,187007865.57383594
AIFM1,2193691279.924469,1931795071.7791138,1577838144.163189,1865547424.8662937,1771474069.517048,1807604017.0681117,1617294163.6235163
AIFM3,25484250.03512702,10120385.923681792,10120385.923681792,9477959.233838793,9477959.233838793,9477959.233838793,9477959.233838793
AIG1,10210042.24912674,10210042.24912674,10210042.24912674,9656076.440213196,9656076.440213196,9656076.440213196,9656076.440213196
