Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
AHSP,16098630.598053355,16098630.598053355,16098630.598053355,9855704.315677863,9855704.315677863,9855704.315677863,9855704.315677863
AIDA,133893302.98216332,19872755.306531448,36244742.53644291,173281986.59976453,155194051.07835406,179880221.42727548,31212916.546581298
AIF1L,85973219.52462226,255535571.56899425,99603270.72173646,125806336.0618323,128408671.60626362,95530372.04107459,143702215.12488958
AIFM1,1230345967.1358562,1108040559.7407804,1248044166.5586126,1552009987.8412704,1076906451.430648,1296062866.426596,672772878.4615738
AIFM3,10120385.923681792,10120385.923681792,10120385.923681792,9477959.233838793,9477959.233838793,9477959.233838793,9477959.233838793
AIG1,10210042.24912674,10210042.24912674,10210042.24912674,9656076.440213196,9656076.440213196,9656076.440213196,9656076.440213196
AIMP1,785472360.7250882,760074592.7881072,1066268398.7275572,906942917.5858679,871220286.3393582,732845876.2440757,849797461.8157964
AIMP2,215698147.80902445,195757698.17314893,239987893.6565116,372524608.6965148,414728516.084115,301412528.417224,30493342.860249437
AIP,233376593.85542816,434605448.98019046,358849701.9035048,505652876.6766935,472668030.3479206,403225950.8517795,447644916.84448314
AK1,6464469267.02807,3538326198.067041,5480042165.223985,6908627438.180294,7475921336.904587,6626926336.605622,6209272677.25101
AK2,420047948.91561437,234867043.4288436,159921776.19753185,520077815.55530196,356607381.6675699,372173199.9149533,319761723.21704435
AK3,1417792532.0198965,1903929978.7551134,1719255697.342774,2174311022.07703,1682807355.3560944,1689853831.2795138,1579374232.4353137
AK4,1632971897.3321817,1428596265.8328085,2258407313.3122,2645082866.606418,2233746125.924425,1986461112.9191637,1721123791.901754
AK5,2051733678.7117033,2987071558.3732033,3619804887.586803,3649749387.8601003,4564172880.015601,4075951819.396818,3543082884.946495
AKAP1,226146119.59161517,223031645.56769463,271945738.7918808,150508652.76415905,150508652.76415905,150508652.76415905,150508652.76415905
AKAP10,55311388.34800895,54790360.91143922,64972851.76789731,24775046.900444724,24775046.900444724,24775046.900444724,24775046.900444724
AKAP11,9800779.245976506,9800779.245976506,9800779.245976506,9018229.092287024,9018229.092287024,9018229.092287024,9018229.092287024
AKAP12,1566478390.7311718,5977938033.657938,4637947803.687784,4956813600.528606,5330127596.370575,4588911947.618479,3857505722.5073514
AKAP5,415983671.4408228,333148920.9102359,428732745.82726216,727172451.6089633,461189437.8136592,710651259.366797,378550884.7016104
AKAP6,8727876.744584616,8727876.744584616,8727876.744584616,32686000.581734367,32686000.581734367,32686000.581734367,32686000.581734367
AKAP7,552295363.4972024,4817405.143591905,198103133.61224747,7732660625.784068,36057804.13305423,36057804.13305423,36057804.13305423
AKAP9,9449619.42634272,9449619.42634272,115283255.717189,647107952.7567983,13651322.641833397,877268894.3695444,13651322.641833397
AKR1A1,4933896327.789559,5163789936.380954,4983660804.305142,4798186524.441559,5116488057.870167,4713252174.879132,5432008655.639953
AKR1B1,7149058244.568049,8959783161.63563,9845264031.65707,7273207213.7156925,7958984351.172887,8133052218.321297,9191489944.157602
AKR1C1,836132402.9794947,774311586.451302,281921779.0959951,974851997.0383923,1225804578.0724177,1122097853.520201,1061703983.1878891
