Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
FGB,871381173.3707128,420948971.45171916,5720112924.897825,150092852.29066637,3226065554.346764,1888329659.3242273,2770544489.7051125
FGD4,26589176.42668967,10207062.656152852,10207062.656152852,9647943.539963288,9647943.539963288,9647943.539963288,9647943.539963288
FGF1,214820823.40741193,456733989.8227467,332511601.45385045,367029744.8484547,665646481.7486048,358505835.33952504,459648006.4836898
FGF12,1163482599.1871939,784065820.6347818,322576040.4950878,906302054.2953312,56556315.57418347,879869920.437007,958467055.7895398
FGF2,14706198.105295295,10110561.096481618,10110561.096481618,10020745.997032842,10020745.997032842,10020745.997032842,10020745.997032842
FGFR1,10200127.358868353,10200127.358868353,10200127.358868353,9629030.763004452,9629030.763004452,9629030.763004452,9629030.763004452
FGFR1OP2,10047302.513561787,10047302.513561787,69012864.11315414,11514520.807004943,11514520.807004943,11514520.807004943,184965029.2979793
FGFR4,9939049.041193025,9939049.041193025,9939049.041193025,10393776.647344043,10393776.647344043,10393776.647344043,10393776.647344043
FGG,727330407.7529141,573423974.1402863,7224581262.440508,55989570.074080974,3931640346.958744,2176399031.6384144,3559392887.633912
FH,9099288437.311115,7657936160.835209,11381202956.152306,9453618902.653957,10290332171.577023,11621036201.778612,11481838287.907433
FHIT,163769029.8614043,159582219.93002686,204531212.71631867,609944830.2775921,49044099.7539945,522843571.9548224,513218913.47657955
FHL1,3681083035.5649447,3551849893.0202518,3518832628.2702355,4270463953.6196284,4583356063.058336,3257777976.3392296,4393753244.882955
FHL2,9920545.961058617,9920545.961058617,9920545.961058617,9999079.9247212,9999079.9247212,9999079.9247212,9999079.9247212
FIBP,166130746.3260586,182359801.87899682,96326111.23241831,303369993.1795317,245036050.17240027,244935241.5022072,310763298.7263133
FIS1,1080696847.899195,1216277544.043598,1290823499.33814,841767649.5206407,238581533.9308897,970065142.5101005,845754169.4958222
FKBP10,10448579.534253225,10448579.534253225,10448579.534253225,10687164.676412228,10687164.676412228,10687164.676412228,10687164.676412228
FKBP15,68891721.51578848,94266679.49360897,60028766.4646957,212127117.95359328,59241257.11640976,15573687.60974955,15573687.60974955
FKBP1A,5298377144.673974,6230602329.0230255,4772567067.248242,8377015150.513164,6239707842.64318,5595714335.531211,9000573786.680775
FKBP1B,10088695.569057466,10088695.569057466,10088695.569057466,11136874.472304856,11136874.472304856,11136874.472304856,11136874.472304856
